step,variable,mae,n
21,bicarbonate,0.32226634066298493,1034
21,glucose_lab,6.737060704503136,1028
21,potassium,0.05378892536658747,1072
21,sodium,0.5687090140320769,1078
21,anion_gap,0.2324653167645275,1034
21,albumin,0.06246790176056809,147
21,platelets,5.63348821446628,967
21,bilirubin_total,0.13139648785656502,276
21,magnesium,0.035093211977369636,1021
22,heart_rate,5.483498176501355,2408
22,arterial_bp_mean,5.351596574792511,1097
22,respiratory_rate,8.570773795644861,2408
22,spo2,0.9809160162763773,2408
22,temperature_f,0.37441360500867304,2382
22,gcs_total,0.426888787045407,2405
22,lactate,0.5746497423107084,200
22,creatinine,0.10990634899116095,1048
22,bun,1.4534179349124208,1047
22,wbc,0.7775080232046525,961
22,hemoglobin,0.17994272119092355,966
22,bicarbonate,0.32027153471281056,1034
22,glucose_lab,6.759633917492667,1028
22,potassium,0.05329167992808446,1072
22,sodium,0.5646341695832515,1078
22,anion_gap,0.23321833188781937,1034
22,albumin,0.06257522304558996,147
22,platelets,5.622411562407585,967
22,bilirubin_total,0.13158750431299504,276
22,magnesium,0.03477833662890358,1021
23,heart_rate,5.400787210980324,2408
23,arterial_bp_mean,5.479702022687662,1097
23,respiratory_rate,9.361068395466376,2408
23,spo2,0.9711717944157291,2408
23,temperature_f,0.35258600458837885,2382
23,gcs_total,0.4249197153074202,2405
23,lactate,0.5806528227418396,200
23,creatinine,0.10952748852573067,1048
23,bun,1.4668129457860721,1047
23,wbc,0.7716537189859687,961
23,hemoglobin,0.17862924578357156,966
23,bicarbonate,0.3228444643494039,1034
23,glucose_lab,6.802868935202305,1028
23,potassium,0.05311878588654141,1072
23,sodium,0.5571431433784749,1078
23,anion_gap,0.23448641320313052,1034
23,albumin,0.06258052544507857,147
23,platelets,5.645243986350625,967
23,bilirubin_total,0.12796552052520566,276
23,magnesium,0.03488356264038253,1021
24,heart_rate,5.455849490043985,2408
24,arterial_bp_mean,5.651781586793975,1097
24,respiratory_rate,8.39801047769389,2408
24,spo2,0.9575290746524964,2408
24,temperature_f,0.3454098735867326,2382
24,gcs_total,0.41912911732141095,2405
24,lactate,0.5810637612266482,200
24,creatinine,0.10985480334878636,1048
24,bun,1.4762692465186762,1047
24,wbc,0.7745479284244412,961
24,hemoglobin,0.17818480178366114,966
24,bicarbonate,0.32316669735264053,1034
24,glucose_lab,6.753839406773162,1028
24,potassium,0.05283506546467727,1072
24,sodium,0.5564828814611816,1078
24,anion_gap,0.23618384168876191,1034
24,albumin,0.061474715563186864,147
24,platelets,5.6504369327512105,967
24,bilirubin_total,0.13133196322474638,276
24,magnesium,0.034752100594148176,1021
